1		0.11
2		0.10
3		0.11
4		0.09
5		0.11
6		0.11
7		0.13
8		0.15
9		0.26
10		0.30
11		0.35
12		0.40
13		0.50
14		0.40
15		0.30
16		0.30
17		0.40
18		0.50
19		0.30
20		0.26
21		0.15
22		0.13
23		0.10
24		0.11
25		0.11
26		0.10
27		0.11
28		0.09
29		0.11
30		0.11
31		0.13
32		0.15
33		0.26
34		0.30
35		0.35
36		0.40
37		0.50
38		0.40
39		0.30
40		0.30
41		0.40
42		0.50
43		0.30
44		0.26
45		0.15
46		0.13
47		0.10
48		0.11
49		0.11
50		0.10
51		0.11
52		0.09
53		0.11
54		0.11
55		0.13
56		0.15
57		0.26
58		0.30
59		0.35
60		0.40
61		0.50
62		0.40
63		0.30
64		0.30
65		0.40
66		0.50
67		0.30
68		0.26
69		0.15
70		0.13
71		0.10
72		0.11
73		0.11
74		0.10
75		0.11
76		0.09
77		0.11
78		0.11
79		0.13
80		0.15
81		0.26
82		0.30
83		0.35
84		0.40
85		0.50
86		0.40
87		0.30
88		0.30
89		0.40
90		0.50
91		0.30
92		0.26
93		0.15
94		0.13
95		0.10
96		0.11
